Банк	Лицензия	ликвдата	причина	статус	хреф
Невельбанк	686	06.07.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении деятельности банка как самостоятельного и преобразовании его в филиал Псковакобанка (Псков, регистрационный № 1265).</dd>]"	ликв.	/banks/memory/bank/?id=209530
Ноулбанк	966	06.07.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении деятельности банка как самостоятельного и его преобразовании в филиал Поволжского регионального акционерного банка Внешней
торговли «Ульяновсквнешторгбанк» (Ульяновск, регистрационный № 634), ныне — «Поволжский».</dd>]"	ликв.	/banks/memory/bank/?id=209533
Щигрыкомбанк	1009	06.07.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении деятельности банка в качестве самостоятельного и его преобразовании в филиал Курскпромбанка (Курск, регистрационный № 735).</dd>]"	ликв.	/banks/memory/bank/?id=209535
Изьва	1036	06.07.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении деятельности банка как самостоятельного и его преобразовании в филиал Россельхозбанка (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=209537
Датекс	1873	06.07.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением собрания пайщиков банка о прекращении деятельности банка в качестве самостоятельного и его преобразовании в филиал акционерного банка «Кавказский биржевой банк» (Махачкала, регистрационный № 1895).</dd>]"	ликв.	/banks/memory/bank/?id=209539
Белокуриха	1940	06.07.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением учредителей банка о прекращении деятельности банка как самостоятельного и его преобразовании в филиал коммерческого банка «Алтайкредитпромбанк» (Барнаул, регистрационный № 1238).</dd>]"	ликв.	/banks/memory/bank/?id=209544
Магадан-Кредит	1836	20.06.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением собрания пайщиков банка о прекращении его деятельности.</dd>]"	ликв.	/banks/memory/bank/?id=209528
Центр	1565	11.06.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о его реорганизации в форме присоединения к коммерческому банку «Тулабанк» (Тула, регистрационный № 660).</dd>]"	ликв.	/banks/memory/bank/?id=210078
Залесский	1192	07.06.1993	[]	ликв.	/banks/memory/bank/?id=238336
Дмитриевкомбанк	1017	07.06.1993	[]	ликв.	/banks/memory/bank/?id=221736
Красная Гвардия	1058	07.06.1993	[]	ликв.	/banks/memory/bank/?id=238128
Ладога	602	07.06.1993	[]	ликв.	/banks/memory/bank/?id=209219
Усть-Цильмабанк	898	07.06.1993	[]	ликв.	/banks/memory/bank/?id=217156
Ужурский	925	26.05.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности в качестве
самостоятельного и преобразовании в филиал «Россельхозбанка» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=217088
Онон	1028	26.05.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением собрания пайщиков банка о прекращении его деятельности как самостоятельного и преобразовании в филиал АКБ «Забайкальский» (Чита, регистрационный № 969).</dd>]"	ликв.	/banks/memory/bank/?id=217095
Аргунь	890	26.05.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением собрания пайщиков банка о прекращении его деятельности как самостоятельного и преобразовании в филиал АКБ «Забайкальский» (Чита, регистрационный № 969).</dd>]"	ликв.	/banks/memory/bank/?id=217098
Пыталово-Банк	864	26.05.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением пайщиков банка о прекращении его деятельности в качестве
самостоятельного и преобразовании в филиал АКБ «Псковакобанк» (Псков, регистрационный № 1265).</dd>]"	ликв.	/banks/memory/bank/?id=217080
Дагибанк	1785	26.05.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением собрания учредителей банка о прекращении деятельности банка в качестве самостоятельного и его преобразовании в филиал коммерческого банка «Интобанк» (Южно-Сахалинск, регистрационный № 876).</dd>]"	ликв.	/banks/memory/bank/?id=217084
Ноглики	1744	05.05.1993	[]	ликв.	/banks/memory/bank/?id=247080
Агробизнес	1429	05.05.1993	[]	ликв.	/banks/memory/bank/?id=244334
Владимиркомбанк	910	29.04.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о реорганизации и присоединении к Московскому Индустриальному Банку (Москва, регистрационный № 912).</dd>]"	ликв.	/banks/memory/bank/?id=210050
Кваркено	1256	28.04.1993	[]	ликв.	/banks/memory/bank/?id=243492
Грачевский	1306	28.04.1993	[]	ликв.	/banks/memory/bank/?id=243535
Северскбанк	455	28.04.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации путем присоединения к Кузбассоцбанку (Кемерово, регистрационный № 559).</dd>]"	ликв.	/banks/memory/bank/?id=206247
Староминский	468	28.04.1993	[]	ликв.	/banks/memory/bank/?id=206298
Агат	1154	28.04.1993	[]	ликв.	/banks/memory/bank/?id=238300
Гайсельхозбанк	1177	28.04.1993	[]	ликв.	/banks/memory/bank/?id=238317
Новокуйбышевский	1042	23.04.1993	[]	ликв.	/banks/memory/bank/?id=237318
Новоорсксельхозбанк	1254	21.04.1993	[]	ликв.	/banks/memory/bank/?id=243490
Кэрс-Банк	975	21.04.1993	[]	ликв.	/banks/memory/bank/?id=220577
Зубово-Полянский	748	21.04.1993	[]	ликв.	/banks/memory/bank/?id=210622
Михайловскагрокомбанк	1208	21.04.1993	[]	ликв.	/banks/memory/bank/?id=242884
Кораблиноагропромбанк	801	21.04.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к ОАО «Агропромбанк» (Москва, регистрационный № 1575).</dd>]"	ликв.	/banks/memory/bank/?id=216013
Старожиловский	973	21.04.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к ОАО «Агропромбанк» (Москва, регистрационный № 1575).</dd>]"	ликв.	/banks/memory/bank/?id=216015
Моршансксоцбанк	1248	21.04.1993	[]	ликв.	/banks/memory/bank/?id=242903
Ташлинский	1175	21.04.1993	[]	ликв.	/banks/memory/bank/?id=238315
Ракша	1161	01.04.1993	[]	ликв.	/banks/memory/bank/?id=238307
Камешковокомбанк	949	12.02.1993	[]	ликв.	/banks/memory/bank/?id=219770
Визит	1274	12.01.1993	[]	ликв.	/banks/memory/bank/?id=243526
Абдулиносельхозбанк	796	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215957
Ясный	1260	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215964
Луч	835	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215966
Шарлык	1240	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215968
Курманаевсельхозбанк	1142	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215970
Асекеевосельхозбанк	1173	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215974
Антей	1168	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215977
Беляевкасельхозбанк	1391	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215981
Саракташсельхозбанк	1330	12.01.1993	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к «Россельхозбанку» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=215984
Минуса	730	12.01.1993	[]	ликв.	/banks/memory/bank/?id=210610
