Банк	Лицензия	ликвдата	причина	статус	хреф
Столичный Торговый Банк	2797	15.06.2011	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Столичный Торговый Банк» о реорганизации общества путем его присоединения к ЗАО «Акционерный Коммерческий Банк Сбережений и Кредита» (Москва, рег. № 2581).</dd>]"	ликв.	/banks/memory/bank/?id=3013070
Инкредбанк	3405	18.04.2011	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ЗАО «Коммерческий банк «Банк индустриальный кредит» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=196709&amp;sphrase_id=1286204"" target=""_blank"">ОАО «Акционерный коммерческий банк «Балтика»</a> (Санкт-Петербург, рег. № 967).</dd>]"	ликв.	/banks/memory/bank/?id=2915922
Регион	233	06.04.2011	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Акционерный банк «Регион» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=93196"" target=""_blank"">ОАО «Акционерный Коммерческий Банк «Легион»</a> (Москва, рег. № 3117).</dd>]"	ликв.	/banks/memory/bank/?id=2881879
ВТБ Северо-Запад	439	23.03.2011	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Банк ВТБ Северо-Запад» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=327&amp;sphrase_id=1048295"" target=""_blank"">ОАО ""Банк ВТБ""</a> (Санкт-Петербург, рег. № 1000).</dd>]"	ликв.	/banks/memory/bank/?id=2810906
Рабобанк	3488	17.02.2011	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ЗАО «Рабобанк» о прекращении деятельности кредитной организации в порядке ликвидации.</dd>]"	ликв.	/banks/memory/bank/?id=2706579
Алемар	2384	14.01.2011	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Банк «Алемар» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=8360"" target=""_blank"">ОАО «Акционерный коммерческий межрегиональный топливно-энергетический банк «Межтопэнергобанк»</a> (Москва, рег. № 2956).</dd>]"	ликв.	/banks/memory/bank/?id=2595734
Ярсоцбанк	828	19.10.2010	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Ярославский коммерческий банк социального развития» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=5306&amp;sphrase_id=667665"" target=""_blank"">ОАО «Промсвязьбанк»</a> (Москва, рег. № 3251).</dd>]"	ликв.	/banks/memory/bank/?id=2607043
Открытие / Инвестиционный банк	2901	01.10.2010	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Инвестиционный Банк «Открытие» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=10255"" target=""_blank"">ОАО «Банк «Открытие»</a> (Москва, рег. № 2179).</dd>]"	ликв.	/banks/memory/bank/?id=2292766
Петровский	729	01.10.2010	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Банк «Петровский» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=10255"" target=""_blank"">ОАО «Банк «Открытие»</a> (Москва, рег. № 2179).</dd>]"	ликв.	/banks/memory/bank/?id=2292095
Дрезднер Банк	2455	01.10.2010	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ЗАО «Дрезднер Банк» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=9179"" target=""_blank"">ЗАО «Коммерцбанк (Евразия)»</a> (Москва, рег. № 3333).</dd>]"	ликв.	/banks/memory/bank/?id=2291658
Ростпромстройбанк	1705	01.10.2010	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Ростовский инвестиционно-коммерческий промышленно-строительный банк» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=193284"" target=""_blank"">ОАО «Восточный экспресс банк»</a> (Благовещенск, рег. № 1460).</dd>]"	ликв.	/banks/memory/bank/?id=2290924
Евразбанк	1676	30.09.2010	"[<dd class=""margin-bottom-zero""><p style=""MARGIN-BOTTOM: 0cm"">Лицензия аннулирована в связи с решением акционеров ООО «Европейско-Азиатский Кредитный Банк» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=190853"" target=""_blank"">ООО «Коммерческий Банк «Интеркоммерц»</a> (Москва, рег. № 1657).</p></dd>]"	ликв.	/banks/memory/bank/?id=2286824
Газэнергопромбанк	3284	02.08.2010	"[<dd class=""margin-bottom-zero""><p style=""MARGIN-BOTTOM: 0cm"">Лицензия аннулирована в связи с решением акционеров ЗАО «Газэнергопромбанк» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=68683"" target=""_blank"">ОАО «Акционерный Банк «Россия»</a> (Санкт-Петербург, рег. № 328).</p></dd>]"	ликв.	/banks/memory/bank/?id=2131369
Уралсиб-Юг Банк	457	11.05.2010	"[<dd class=""margin-bottom-zero""><p style=""MARGIN-BOTTOM: 0cm"">Лицензия аннулирована в связи с решением акционеров ОАО «Акционерный коммерческий банк «Уралсиб-Юг Банк» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=63520"" target=""_blank""><font color=""#800000"">ОАО «Банк Уралсиб»</font></a> (Москва, рег. № 2275).</p></dd>]"	ликв.	/banks/memory/bank/?id=1959094
Стройвестбанк	1667	11.05.2010	"[<dd class=""margin-bottom-zero""><p style=""MARGIN-BOTTOM: 0cm"">Лицензия аннулирована в связи с решением акционеров ОАО «Акционерный коммерческий банк «Стройвестбанк» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=63520"" target=""_blank"">ОАО «Банк Уралсиб»</a> (Москва, рег. № 2275).</p></dd>]"	ликв.	/banks/memory/bank/?id=1958622
Балтсоцкомбанк	2545	07.05.2010	"[<dd class=""margin-bottom-zero""><p style=""MARGIN-BOTTOM: 0cm"">Лицензия аннулирована в связи с решением акционеров ООО «Балтийский социальный коммерческий банк» о реорганизации общества путем его присоединения к <a href=""http://www.allbanks.ru/banks/russia/centre/moscow/185454/"" target=""_blank"">ООО «Коммерческий банк «Русский ипотечный банк»</a> (Москва, рег. № 1968).</p></dd>]"	ликв.	/banks/memory/bank/?id=1959700
Камчатпромбанк	1194	07.05.2010	"[<dd class=""margin-bottom-zero""><p>Лицензия аннулирована в связи с решением акционеров ОАО «Камчатпромбанк» о реорганизации общества путем его присоединения к <a href=""http://www.allbanks.ru/banks/russia/fareast/blagoveshchensk/192833/"" target=""_blank""><font color=""#800000"">ОАО «Азиатско-Тихоокеанский Банк»</font></a> (Благовещенск, рег. № 1810).</p></dd>]"	ликв.	/banks/memory/bank/?id=1945223
Колыма-Банк	1076	07.05.2010	"[<dd class=""margin-bottom-zero""><p>Лицензия аннулирована в связи с решением акционеров ОАО ""Колыма-банк"" о реорганизации общества путем его присоединения к <a href=""http://www.allbanks.ru/banks/russia/fareast/blagoveshchensk/192833/"" target=""_blank""><font color=""#800000"">ОАО «Азиатско-Тихоокеанский Банк»</font></a> (Благовещенск, рег. № 1810).</p></dd>]"	ликв.	/banks/memory/bank/?id=1945040
Нижний Новгород	926	05.05.2010	"[<dd class=""margin-bottom-zero""><p style=""MARGIN-BOTTOM: 0cm"">Лицензия аннулирована в связи с решением акционеров ОАО «Городской банк «Нижний Новгород» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=5306"" target=""_blank""><font color=""#800000"">ОАО «Промсвязьбанк»</font></a> (Москва, рег. № 3251).</p></dd>]"	ликв.	/banks/memory/bank/?id=1959487
Волгопромбанк	701	05.05.2010	"[<dd class=""margin-bottom-zero""><p style=""MARGIN-BOTTOM: 0cm"">Лицензия аннулирована в связи с решением акционеров ОАО «Акционерный коммерческий банк «Волгопромбанк» о реорганизации общества путем его присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=5306"" target=""_blank""><font color=""#800000"">ОАО «Промсвязьбанк»</font></a> (Москва, рег. № 3251).</p></dd>]"	ликв.	/banks/memory/bank/?id=1959649
Камабанк	803	05.05.2010	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Коммерческий банк «Камабанк» о реорганизации общества путем его присоединения к <a href=""http://www.allbanks.ru/banks/russia/fareast/blagoveshchensk/193284/"" target=""_blank"">ОАО «Восточный экспресс банк»</a> (Благовещенск, рег. № 1460).</dd>]"	ликв.	/banks/memory/bank/?id=1939191
Донской Народный Банк	2126	05.02.2010	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ЗАО «Донской Народный Банк» о реорганизации общества путем его присоединения к ОТП-Банку (Москва, рег. № 2766). На базе банка открыт филиал ""Ростовский"" ОТП Банка.</dd>]"	ликв.	/banks/memory/bank/?id=1732593
Новосибкоопбанк	2422	04.02.2010	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ООО «Коммерческий банк «Новосибкоопбанк» о его добровольной ликвидации. Исходя из представленных банком данных, кредитная организация располагает достаточным имуществом для удовлетворения требований кредиторов.</dd>]"	ликв.	/banks/memory/bank/?id=1711959
Русь-Банк-Урал	1214	20.01.2010	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Русь-Банк-Урал» о его реорганизации в форме присоединения к ОАО «Русь-Банк» (Москва, рег. № 3073).</dd>]"	ликв.	/banks/memory/bank/?id=1690311
Интеза	3444	11.01.2010	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ЗАО «Банк Интеза» (Москва, рег. N) о его реорганизации в форме присоединения к ЗАО «КМБ Банк» (Москва, рег. № 2216). Оба банка входили в итальянскую финансовую группу «Интеза Санпаоло». После завершения реорганизации ЗАО «КМБ Банк» (Москва, рег. № 2216) был переименован в ЗАО «Банк Интеза» (Москва, рег. № 2216) и в настоящее время является правопреемником указанных кредитных организаций.</dd>]"	ликв.	/banks/memory/bank/?id=1666934
Читапромстройбанк	1339	23.12.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Читинский промышленно-строительный банк» о реорганизации кредитной организации в форме присоединения к ОАО ""Транскредитбанк"" (Москва, рег. № 2142).</dd>]"	ликв.	/banks/memory/bank/?id=1666566
Супербанк	1338	23.12.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Региональный универсальный акционерный коммерческий банк «Супербанк» о реорганизации кредитной организации в форме присоединения к ОАО ""Транскредитбанк"" (Москва, рег. № 2142).</dd>]"	ликв.	/banks/memory/bank/?id=1666506
Метракомбанк	2003	23.12.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Межрегиональный Транспортный Коммерческий Банк» о реорганизации кредитной организации в форме присоединения к ОАО ""Транскредитбанк"" (Москва, рег. № 2142).</dd>]"	ликв.	/banks/memory/bank/?id=1666531
Юго-Восток	414	23.12.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Межрегиональный акционерный банк «Юго-Восток» о реорганизации кредитной организации в форме присоединения к ОАО ""Транскредитбанк"" (Москва, рег. № 2142).</dd>]"	ликв.	/banks/memory/bank/?id=1666541
Южный Регион	2409	27.11.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=124454"" target=""_blank"">ОАО «Ростовский инвестиционно-коммерческий промышленно-строительный банк»</a> (Ростов-на-Дону, рег. № 1705).</dd>]"	ликв.	/banks/memory/bank/?id=1596788
Петербург-Инвест	2582	12.11.2009	"[<dd class=""margin-bottom-zero""><p>Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к <a href=""http://www.allbanks.ru/banks/russia/siberia/omsk/196995/"" target=""_blank"">ЗАО «Коммерческий банк «Мираф-Банк»</a> (Омск, рег. № 2244).</p></dd>]"	ликв.	/banks/memory/bank/?id=1571724
Движение	199	22.10.2009	"[<dd class=""margin-bottom-zero""><a name=""topBottomPadding21""></a><a name=""topBottomPadding11""></a>Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к <a href=""http://www.allbanks.ru/banks/russia/fareast/blagoveshchensk/193284/"" target=""_blank""><font color=""#800000"">ОАО «Восточный экспресс банк»</font></a> (Благовещенск, рег. № 1460).</dd>]"	ликв.	/banks/memory/bank/?id=1524749
МБТС-Банк	3039	05.10.2009	"[<dd class=""margin-bottom-zero""><p>Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=17200"" target=""_blank"">ОАО «Банк «Северный морской путь»</a> (Москва, рег. № 3368).</p></dd>]"	ликв.	/banks/memory/bank/?id=1481115
Центральное О. В. К.	2346	15.09.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к <a href=""http://www.banki.ru/banks/bank/?ID=3697"" target=""_blank"">ОАО «Акционерный коммерческий банк «РОСБАНК»</a> (Москва, рег. № 2272).</dd>]"	ликв.	/banks/memory/bank/?id=1448645
Белдорбанк	3276	24.08.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением учредителей ЗАО ""Белгородский акционерный коммерческий дорожный банк «БелДорБанк» о прекращении его деятельности путем реорганизации в форме присоединения к КБ «Русский Народный Банк» (Руснарбанк; Москва, рег. № 3403).</dd>]"	ликв.	/banks/memory/bank/?id=1461763
МДМ-Банк	2361	06.08.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме слияния с ОАО «УРСА Банк» в новый объединенный банк - <a href=""http://www.banki.ru/banks/bank/?ID=185165"">ОАО «МДМ Банк»</a> (Новосибирск, рег. № 323).</dd>]"	ликв.	/banks/memory/bank/?id=1405099
ЮСиБи	2371	02.07.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционера ЗАО ""Акционерный коммерческий банк ""ЮСиБи"" (АКБ ""ЮСБ"") о его добровольной ликвидации. Исходя из представленных банком данных, кредитная организация располагает достаточным имуществом для удовлетворения требований кредиторов.</dd>]"	ликв.	/banks/memory/bank/?id=1332996
ИПФ Банк	899	25.06.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его добровольной ликвидаци. Кредитная организация располагает достаточным имуществом для удовлетворения требований кредиторов.</dd>]"	ликв.	/banks/memory/bank/?id=1321315
Эталонбанк	99	09.06.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его реорганизации в форме присоединения к ОАО «Восточный Экспресс Банк» (Благовещенск, рег. № 1460).</dd>]"	ликв.	/banks/memory/bank/?id=1326418
Независимый Банк Развития	3055	19.03.2009	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением уполномоченного органа банка о прекращении его деятельности в порядке ликвидации.
<br/> 
ООО «Коммерческий Банк ""Независимый Банк Развития"" располагает достаточным имуществом для удовлетворения требований кредиторов.</dd>]"	ликв.	/banks/memory/bank/?id=893980
Международный Солидарный Банк	116	12.11.2008	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована на основании решения акционеров банка о его добровольной ликвидации.</dd>]"	ликв.	/banks/memory/bank/?id=713900
Инвестиционный Банк «Траст»	2783	07.11.2008	"[<dd class=""margin-bottom-zero"">Лицензия на осуществление банковских операций аннулирована в связи с решением акционеров о присоединении кредитной организации к Национальному Банку «Траст» (Москва, рег. №3279).</dd>]"	ликв.	/banks/memory/bank/?id=726990
Универсальный Банк Сбережений	3409	25.06.2008	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников банка о его добровольной ликвидации. Согласно представленным данным, имущества кредитной организации достаточно для удовлетворения требований кредиторов.</dd>]"	ликв.	/banks/memory/bank/?id=580396
Конверсбанк	122	15.04.2008	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к ОАО «Акционерный коммерческий банк «Инвестбанк» (Калининград, регистрационный № 107).</dd>]"	ликв.	/banks/memory/bank/?id=519048
Воронежпромбанк	562	15.04.2008	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к ОАО «Акционерный коммерческий банк «Инвестбанк» (Калининград, регистрационный № 107).</dd>]"	ликв.	/banks/memory/bank/?id=519053
Гран	1125	15.04.2008	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Коммерческий банк «Гран» (Гранкомбанк) о его реорганизации в форме присоединения к ОАО «Акционерный коммерческий банк «Инвестбанк» (Калининград, регистрационный № 107).</dd>]"	ликв.	/banks/memory/bank/?id=519056
Росинбанк-Сибирь	1221	06.03.2008	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «РИБ-СИБИРЬ» о прекращении деятельности кредитной организации в порядке ликвидации.</dd>]"	ликв.	/banks/memory/bank/?id=485515
Русский Индустриальный Банк	1793	29.01.2008	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к Связь-Банку (Москва, регистрационный № 1470).</dd>]"	ликв.	/banks/memory/bank/?id=467385
Расчетная Палата РВФБ	3321	20.12.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционера Небанковской кредитной организации «Расчетная палата Ростовской валютно-фондовой биржи» (ЗАО «РП РВФБ», Ростов-на-Дону) о ее добровольной ликвидации.</dd>]"	ликв.	/banks/memory/bank/?id=440273
ИМПЭКСБанк	2291	23.11.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к ЗАО «Райффайзенбанк Австрия» (Москва, регистрационный № 3292).</dd>]"	ликв.	/banks/memory/bank/?id=430637
Масс Медиа Банк	1859	19.11.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к ОАО «Эталонбанк» (Москва, регистрационный № 99).</dd>]"	ликв.	/banks/memory/bank/?id=426965
Поволжское ОВК	2870	09.11.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО Банк «Поволжское Общество Взаимного Кредита» о его добровольной ликвидации.</dd>]"	ликв.	/banks/memory/bank/?id=416585
Приволжское ОВК	1141	16.08.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционера ЗАО «Коммерческий банк «Приволжское Общество Взаимного Кредита» (ЗАО КБ «Приволжское ОВК») о добровольной ликвидации банка.</dd>]"	ликв.	/banks/memory/bank/?id=367564
Дорожник	269	09.08.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к АКБ «Стройвестбанк» (Калининград, регистрационный № 1667).</dd>]"	ликв.	/banks/memory/bank/?id=368036
Тюменьпрофбанк	441	09.08.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к АКБ «Стройвестбанк» (Калининград, регистрационный № 1667).</dd>]"	ликв.	/banks/memory/bank/?id=368044
Евразия	573	09.08.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к АКБ «Стройвестбанк» (Калининград, регистрационный № 1667).</dd>]"	ликв.	/banks/memory/bank/?id=368046
Дзержинский	1113	09.08.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к АКБ «Стройвестбанк» (Калининград, регистрационный № 1667).</dd>]"	ликв.	/banks/memory/bank/?id=368050
Волгоинвестбанк	3141	09.08.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ЗАО АКБ «Волжский инвестиционный банк» о его реорганизации в форме присоединения к АКБ «Стройвестбанк» (Калининград, регистрационный № 1667).</dd>]"	ликв.	/banks/memory/bank/?id=368054
Эталонбанк	2317	21.06.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров ОАО «Эталонбанк» о реорганизации банка в форме присоединения к ОАО «Желдорбанк» (регистрационный № 99, Москва). Одновременно «Желдорбанк» был переименован в «Эталонбанк».</dd>]"	ликв.	/banks/memory/bank/?id=367255
Таскбанк	2833	18.05.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников Тульского акционерного социального коммерческого банка ЗАО «ТАСКБАНК» (Москва) о прекращении его деятельности. При ликвидации банк не допустил нарушения действующего законодательства: по представленным банком данным, имущества кредитной организации достаточно для удовлетворения требований кредиторов.</dd>]"	ликв.	/banks/memory/bank/?id=312910
ЭПИН-Банк	3410	11.05.2007	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников ООО «Коммерческий банк «Европейский частный инвестиционный банк» (КБ «ЭПИН-Банк») о добровольной ликвидации банка.</dd>]"	ликв.	/banks/memory/bank/?id=309213
Уралвнешторгбанк	1522	22.12.2006	"[<dd class=""margin-bottom-zero"">Лицензия № 1522 аннулирована в связи с решением акционеров Уралвнешторгбанка о реорганизации банка и его присоединении к ОАО «Сибакадембанк» (Новосибирск, регистрационный № 323). Объединенный банк получил новое название — ОАО «УРСА Банк».</dd>]"	ликв.	/banks/memory/bank/?id=245668
Альфа-Банк-Казань	3429	21.12.2006	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционера кредитной организации о ее добровольной ликвидации. В пресс-релизе ЦБ особо отмечалось, что ЗАО «Альфа-Банк-Казань» не допускает нарушений действующего законодательства. По представленным банком данным, имущества кредитной организации достаточно для удовлетворения оставшихся требований кредиторов.</dd>]"	ликв.	/banks/memory/bank/?id=242499
Омскпромстройбанк	1693	05.08.2006	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в свяи с присоединением банка к ОАО «АКБ «Банк инвестиций и сбережений «Инвестсбербанк» (Москва, регистрационный № 2766).</dd>]"	ликв.	/banks/memory/bank/?id=199091
Промфинсервисбанк	624	05.08.2006	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в свяи с присоединением банка к ОАО «АКБ «Банк инвестиций и сбережений «Инвестсбербанк» (Москва, регистрационный № 2766).</dd>]"	ликв.	/banks/memory/bank/?id=199094
Сигма	392	06.07.2006	"[<dd class=""margin-bottom-zero"">Банковская лицензия аннулирована в связи с решением акционеров о добровольной ликвидации кредитной организации.</dd>]"	ликв.	/banks/memory/bank/?id=184861
Банк Развития Промышленного Производства	2266	28.06.2006	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров о добровольной ликвидации кредитной организации.</dd>]"	ликв.	/banks/memory/bank/?id=179463
Золото-Платина-Банк	2552	28.04.2006	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его присоединении к ОАО «КБ «Мечел-Банк» (Челябинск, регистрационный № 419).</dd>]"	ликв.	/banks/memory/bank/?id=176969
Межторгбанк	3093	06.03.2006	"[<dd class=""margin-bottom-zero"">Ликвидирован в связи с присоединением к ОАО АКБ «Желдорбанк».</dd>]"	ликв.	/banks/memory/bank/?id=173607
Самарский Кредит	3101	18.01.2006	"[<dd class=""margin-bottom-zero"">Ликвидирован 18.01.2006. После слияния с НОВА-банком на базе двух кредитных учреждений образован Первый объединенный банк (лиц. № 3461).</dd>]"	ликв.	/banks/memory/bank/?id=137231
НОВА Банк	2800	18.01.2006	"[<dd class=""margin-bottom-zero"">Основан в 1994 году. До 1999 г. — АКБ «Свя­зьИ­н­ве­с­тБанк». Ликвидирован 18.01.2006 в связи с реорганизацией в виде объединения с ОАО КБ «Самарский Кредит» и создания на их базе ОАО «Первый Объединенный Банк».</dd>]"	ликв.	/banks/memory/bank/?id=137235
Свердлсоцбанк	579	29.12.2005	"[<dd class=""margin-bottom-zero"">Ликвидирован в связи с присоединением к Уральскому Банку Реконструкции и Развития.</dd>]"	ликв.	/banks/memory/bank/?id=118917
Гарантия	2651	08.12.2005	"[<dd class=""margin-bottom-zero"">Ликвидирован в связи с присоединением к Саровбизнесбанку.</dd>]"	ликв.	/banks/memory/bank/?id=114003
Промавтобанк	2016	06.12.2005	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его реорганизации в форме присоединения к Балтинвестбанку (Санкт-Петербург, регистрационный № 3176).</dd>]"	ликв.	/banks/memory/bank/?id=248278
Интерхимбанк	2912	14.11.2005	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением акционеров банка о его добровольной ликвидации.</dd>]"	ликв.	/banks/memory/bank/?id=175807
Бризбанк	2947	06.10.2005	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с принятием участниками ООО КБ «БРИЗБАНК» решения о его добровольной ликвидации.</dd>]"	ликв.	/banks/memory/bank/?id=88718
Брянский Народный Банк	2784	20.09.2005	"[<dd class=""margin-bottom-zero"">Ликвидирован в связи с присоединением к ОАО «УРАЛСИБ» (Москва, регистрационный № 2275).</dd>]"	ликв.	/banks/memory/bank/?id=89092
ИБГ «НИКойл»	409	20.09.2005	"[<dd class=""margin-bottom-zero"">Ликвидирован в связи с присоединением к ОАО «УРАЛСИБ» (Москва, регистрационный № 2275).</dd>]"	ликв.	/banks/memory/bank/?id=89094
Кузбассугольбанк	1898	20.09.2005	"[<dd class=""margin-bottom-zero"">Ликвидирован в связи с присоединением к ОАО «УРАЛСИБ» (Москва, регистрационный № 2275).</dd>]"	ликв.	/banks/memory/bank/?id=89096
Автобанк-НИКОЙЛ	30	20.09.2005	"[<dd class=""margin-bottom-zero"">Ликвидирован в связи с присоединением к ОАО «УРАЛСИБ» (Москва, регистрационный № 2275).</dd>]"	ликв.	/banks/memory/bank/?id=89086
Геоинвестбанк	2641	14.09.2005	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована с связи с решением акционеров банка о его реорганизации в форме присоединения к ОАО «Сибирский банк развития бизнеса» (Сургут, регистрационный № 2539).</dd>]"	ликв.	/banks/memory/bank/?id=249665
Биржевой Расчетный Центр	3327	04.08.2005	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с принятием акционерами кредитной организации решения о ее добровольной ликвидации.</dd>]"	ликв.	/banks/memory/bank/?id=71185
Комисоцбанк	1921	04.08.2005	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с принятием акционерами кредитной организации решения о ее добровольной ликвидации.</dd>]"	ликв.	/banks/memory/bank/?id=72501
Золотой Стандарт	2723	09.06.2005	"[<dd class=""margin-bottom-zero"">Банк прекратил свою деятельность в связи с реорганизацией в форме присоединения к Банку профсоюзной солидарности и социальных инвестиций ЗАО «Солидарность» (Москва).</dd>]"	ликв.	/banks/memory/bank/?id=73604
Траст-Кредит	3059	14.05.2005	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с решением участников Небанковской кредитной организации «Финансово-кредитная компания «Траст-Кредит» о ее реорганизации в форме присоединения к ЗАО «Рунэтбанк» (Москва, регистрационный № 2829).</dd>]"	ликв.	/banks/memory/bank/?id=250364
Телекомбанк	168	29.03.2005	"[<dd class=""margin-bottom-zero"">Лицензия аннулирована в связи с реорганизацией банка в форме присоединения к Русскому индустриальному банку (Москва, регистрационный № 1793).</dd>]"	ликв.	/banks/memory/bank/?id=82820
