лицензия,дата,банк
2,2016-01-01,Викинг
2,2016-02-01,Викинг
2,2016-03-01,Викинг
2,2016-04-01,Викинг
2,2016-05-01,Викинг
2,2016-06-01,Викинг
2,2016-07-01,Викинг
2,2016-08-01,Викинг
2,2016-09-01,Викинг
2,2016-10-01,Викинг
2,2016-11-01,Викинг
2,2016-12-01,Викинг
2,2017-01-01,Викинг
2,2017-02-01,Викинг
2,2017-03-01,Викинг
2,2017-04-01,Викинг
2,2017-05-01,Викинг
2,2017-06-01,Викинг
2,2017-07-01,Викинг
2,2017-08-01,Викинг
2,2017-09-01,Викинг
2,2017-10-01,Викинг
2,2017-11-01,Викинг
2,2017-12-01,Викинг
5,2010-02-01,Кредит-Москва
5,2010-03-01,Кредит-Москва
5,2010-04-01,Кредит-Москва
5,2010-05-01,Кредит-Москва
5,2010-06-01,Кредит-Москва
5,2010-07-01,Кредит-Москва
5,2010-08-01,Кредит-Москва
5,2010-09-01,Кредит-Москва
5,2010-10-01,Кредит-Москва
5,2010-11-01,Кредит-Москва
5,2010-12-01,Кредит-Москва
5,2011-01-01,Кредит-Москва
5,2011-02-01,Кредит-Москва
5,2011-03-01,Кредит-Москва
5,2011-04-01,Кредит-Москва
5,2011-05-01,Кредит-Москва
5,2011-06-01,Кредит-Москва
5,2011-07-01,Кредит-Москва
5,2011-08-01,Кредит-Москва
5,2011-09-01,Кредит-Москва
5,2011-10-01,Кредит-Москва
5,2011-11-01,Кредит-Москва
5,2011-12-01,Кредит-Москва
5,2012-01-01,Кредит-Москва
5,2012-02-01,Кредит-Москва
5,2012-03-01,Кредит-Москва
5,2012-04-01,Кредит-Москва
5,2012-05-01,Кредит-Москва
5,2012-06-01,Кредит-Москва
5,2012-07-01,Кредит-Москва
5,2012-08-01,Кредит-Москва
5,2012-09-01,Кредит-Москва
5,2012-10-01,Кредит-Москва
5,2012-11-01,Кредит-Москва
5,2012-12-01,Кредит-Москва
5,2013-01-01,Кредит-Москва
5,2013-02-01,Кредит-Москва
5,2013-03-01,Кредит-Москва
5,2013-04-01,Кредит-Москва
5,2013-05-01,Кредит-Москва
5,2013-06-01,Кредит-Москва
5,2013-07-01,Кредит-Москва
5,2013-08-01,Кредит-Москва
5,2013-09-01,Кредит-Москва
5,2013-10-01,Кредит-Москва
5,2013-11-01,Кредит-Москва
5,2013-12-01,Кредит-Москва
5,2014-01-01,Кредит-Москва
5,2014-02-01,Кредит-Москва
5,2014-03-01,Кредит-Москва
5,2014-04-01,Кредит-Москва
5,2014-05-01,Кредит-Москва
5,2014-06-01,Кредит-Москва
5,2014-07-01,Кредит-Москва
5,2014-08-01,Кредит-Москва
5,2014-09-01,Кредит-Москва
5,2014-10-01,Кредит-Москва
5,2014-11-01,Кредит-Москва
5,2014-12-01,Кредит-Москва
5,2015-01-01,Кредит-Москва
5,2015-02-01,Кредит-Москва
5,2015-03-01,Кредит-Москва
5,2015-04-01,Кредит-Москва
5,2015-05-01,Кредит-Москва
5,2015-06-01,Кредит-Москва
5,2015-07-01,Кредит-Москва
5,2015-08-01,Кредит-Москва
5,2015-09-01,Кредит-Москва
5,2015-10-01,Кредит-Москва
5,2015-11-01,Кредит-Москва
5,2015-12-01,Кредит-Москва
5,2016-01-01,Кредит-Москва
5,2016-02-01,Кредит-Москва
5,2016-03-01,Кредит-Москва
5,2016-04-01,Кредит-Москва
5,2016-05-01,Кредит-Москва
5,2016-06-01,Кредит-Москва
5,2016-07-01,Кредит-Москва
18,2010-02-01,Стройкредит
18,2010-03-01,Стройкредит
18,2010-04-01,Стройкредит
18,2010-05-01,Стройкредит
18,2010-06-01,Стройкредит
18,2010-07-01,Стройкредит
18,2010-08-01,Стройкредит
18,2010-09-01,Стройкредит
18,2010-10-01,Стройкредит
18,2010-11-01,Стройкредит
18,2010-12-01,Стройкредит
18,2011-01-01,Стройкредит
18,2011-02-01,Стройкредит
18,2011-03-01,Стройкредит
18,2011-04-01,Стройкредит
18,2011-05-01,Стройкредит
18,2011-06-01,Стройкредит
18,2011-07-01,Стройкредит
18,2011-08-01,Стройкредит
18,2011-09-01,Стройкредит
18,2011-10-01,Стройкредит
18,2011-11-01,Стройкредит
18,2011-12-01,Стройкредит
18,2012-01-01,Стройкредит
18,2012-02-01,Стройкредит
18,2012-03-01,Стройкредит
18,2012-04-01,Стройкредит
18,2012-05-01,Стройкредит
18,2012-06-01,Стройкредит
18,2012-07-01,Стройкредит
18,2012-08-01,Стройкредит
18,2012-09-01,Стройкредит
18,2012-10-01,Стройкредит
18,2012-11-01,Стройкредит
18,2012-12-01,Стройкредит
18,2013-01-01,Стройкредит
18,2013-02-01,Стройкредит
18,2013-03-01,Стройкредит
18,2013-04-01,Стройкредит
18,2013-05-01,Стройкредит
18,2013-06-01,Стройкредит
18,2013-07-01,Стройкредит
18,2013-08-01,Стройкредит
18,2013-09-01,Стройкредит
18,2013-10-01,Стройкредит
18,2013-11-01,Стройкредит
18,2013-12-01,Стройкредит
18,2014-01-01,Стройкредит
18,2014-02-01,Стройкредит
18,2014-03-01,Стройкредит
21,2010-07-01,Примтеркомбанк
21,2010-12-01,Примтеркомбанк
21,2011-01-01,Примтеркомбанк
21,2011-02-01,Примтеркомбанк
21,2011-03-01,Примтеркомбанк
21,2011-04-01,Примтеркомбанк
21,2011-05-01,Примтеркомбанк
21,2011-06-01,Примтеркомбанк
21,2011-07-01,Примтеркомбанк
21,2011-08-01,Примтеркомбанк
21,2011-09-01,Примтеркомбанк
21,2011-10-01,Примтеркомбанк
21,2011-11-01,Примтеркомбанк
21,2011-12-01,Примтеркомбанк
21,2012-01-01,Примтеркомбанк
21,2012-02-01,Примтеркомбанк
21,2012-03-01,Примтеркомбанк
21,2012-04-01,Примтеркомбанк
21,2012-05-01,Примтеркомбанк
21,2012-06-01,Примтеркомбанк
21,2012-07-01,Примтеркомбанк
21,2012-08-01,Примтеркомбанк
21,2012-09-01,Примтеркомбанк
21,2012-10-01,Примтеркомбанк
21,2012-11-01,Примтеркомбанк
21,2012-12-01,Примтеркомбанк
21,2013-01-01,Примтеркомбанк
21,2013-02-01,Примтеркомбанк
21,2013-03-01,Примтеркомбанк
21,2013-04-01,Примтеркомбанк
21,2013-05-01,Примтеркомбанк
21,2013-06-01,Примтеркомбанк
21,2013-07-01,Примтеркомбанк
21,2013-08-01,Примтеркомбанк
21,2013-09-01,Примтеркомбанк
21,2013-10-01,Примтеркомбанк
21,2013-11-01,Примтеркомбанк
21,2013-12-01,Примтеркомбанк
21,2014-01-01,Примтеркомбанк
21,2014-02-01,Примтеркомбанк
21,2014-03-01,Примтеркомбанк
21,2014-04-01,Примтеркомбанк
21,2014-05-01,Примтеркомбанк
21,2014-06-01,Примтеркомбанк
21,2014-07-01,Примтеркомбанк
21,2014-08-01,Примтеркомбанк
21,2014-09-01,Примтеркомбанк
21,2014-10-01,Примтеркомбанк
21,2014-11-01,Примтеркомбанк
21,2014-12-01,Примтеркомбанк
21,2015-01-01,Примтеркомбанк
21,2015-01-01,Примтеркомбанк
21,2015-02-01,Примтеркомбанк
21,2015-03-01,Примтеркомбанк
21,2015-04-01,Примтеркомбанк
21,2015-05-01,Примтеркомбанк
21,2015-06-01,Примтеркомбанк
21,2015-08-01,Примтеркомбанк
21,2015-09-01,Примтеркомбанк
21,2015-10-01,Примтеркомбанк
21,2015-11-01,Примтеркомбанк
21,2015-12-01,Примтеркомбанк
21,2016-01-01,Примтеркомбанк
21,2016-02-01,Примтеркомбанк
21,2016-03-01,Примтеркомбанк
21,2016-04-01,Примтеркомбанк
21,2016-05-01,Примтеркомбанк
21,2016-06-01,Примтеркомбанк
21,2016-07-01,Примтеркомбанк
21,2016-08-01,Примтеркомбанк
21,2016-09-01,Примтеркомбанк
21,2016-10-01,Примтеркомбанк
21,2016-11-01,Примтеркомбанк
21,2016-12-01,Примтеркомбанк
21,2017-01-01,Примтеркомбанк
21,2017-02-01,Примтеркомбанк
21,2017-03-01,Примтеркомбанк
21,2017-04-01,Примтеркомбанк
21,2017-05-01,Примтеркомбанк
21,2017-06-01,Примтеркомбанк
21,2017-07-01,Примтеркомбанк
21,2017-08-01,Примтеркомбанк
21,2017-09-01,Примтеркомбанк
21,2017-10-01,Примтеркомбанк
21,2017-11-01,Примтеркомбанк
21,2017-12-01,Примтеркомбанк
23,2010-02-01,Банк АВБ
23,2010-03-01,Банк АВБ
23,2010-04-01,Банк АВБ
23,2010-05-01,Банк АВБ
23,2010-06-01,Банк АВБ
23,2010-07-01,Банк АВБ
23,2010-08-01,Банк АВБ
23,2010-09-01,Банк АВБ
23,2010-10-01,Банк АВБ
23,2010-11-01,Банк АВБ
23,2010-12-01,Банк АВБ
23,2011-01-01,Банк АВБ
23,2011-02-01,Банк АВБ
23,2011-03-01,Банк АВБ
23,2011-04-01,Банк АВБ
23,2011-05-01,Банк АВБ
23,2011-06-01,Банк АВБ
23,2011-07-01,Банк АВБ
23,2011-08-01,Банк АВБ
23,2011-09-01,Банк АВБ
23,2011-10-01,Банк АВБ
23,2011-11-01,Банк АВБ
23,2011-12-01,Банк АВБ
23,2012-01-01,Банк АВБ
23,2012-02-01,Банк АВБ
23,2012-03-01,Банк АВБ
23,2012-04-01,Банк АВБ
23,2012-05-01,Банк АВБ
23,2012-06-01,Банк АВБ
23,2012-07-01,Банк АВБ
23,2012-08-01,Банк АВБ
23,2012-09-01,Банк АВБ
23,2012-10-01,Банк АВБ
23,2012-11-01,Банк АВБ
23,2012-12-01,Банк АВБ
23,2013-01-01,Банк АВБ
23,2013-02-01,Банк АВБ
23,2013-03-01,Банк АВБ
23,2013-04-01,Банк АВБ
23,2013-05-01,Банк АВБ
23,2013-06-01,Банк АВБ
23,2013-07-01,Банк АВБ
23,2013-08-01,Банк АВБ
23,2013-09-01,Банк АВБ
23,2013-10-01,Банк АВБ
23,2013-11-01,Банк АВБ
23,2013-12-01,Банк АВБ
23,2014-01-01,Банк АВБ
23,2014-02-01,Банк АВБ
23,2014-03-01,Банк АВБ
23,2014-04-01,Банк АВБ
23,2014-05-01,Банк АВБ
23,2014-06-01,Банк АВБ
23,2014-07-01,Банк АВБ
23,2014-08-01,Банк АВБ
23,2014-09-01,Банк АВБ
23,2014-10-01,Банк АВБ
23,2014-11-01,Банк АВБ
23,2014-12-01,Банк АВБ
23,2015-01-01,Банк АВБ
23,2015-02-01,Банк АВБ
23,2015-03-01,Банк АВБ
23,2015-04-01,Банк АВБ
23,2015-05-01,Банк АВБ
23,2015-06-01,Банк АВБ
52,2010-03-01,Энергомашбанк
52,2010-05-01,Энергомашбанк
52,2010-06-01,Энергомашбанк
52,2010-07-01,Энергомашбанк
52,2010-09-01,Энергомашбанк
52,2010-10-01,Энергомашбанк
52,2010-11-01,Энергомашбанк
52,2011-01-01,Энергомашбанк
52,2011-02-01,Энергомашбанк
52,2011-03-01,Энергомашбанк
52,2011-04-01,Энергомашбанк
52,2011-05-01,Энергомашбанк
52,2011-06-01,Энергомашбанк
52,2011-07-01,Энергомашбанк
52,2011-08-01,Энергомашбанк
52,2011-09-01,Энергомашбанк
52,2011-10-01,Энергомашбанк
52,2011-11-01,Энергомашбанк
52,2011-12-01,Энергомашбанк
52,2012-01-01,Энергомашбанк
52,2012-02-01,Энергомашбанк
52,2012-03-01,Энергомашбанк
52,2012-04-01,Энергомашбанк
52,2012-05-01,Энергомашбанк
52,2012-06-01,Энергомашбанк
52,2012-07-01,Энергомашбанк
52,2012-08-01,Энергомашбанк
52,2012-09-01,Энергомашбанк
52,2012-10-01,Энергомашбанк
52,2012-11-01,Энергомашбанк
52,2012-12-01,Энергомашбанк
52,2013-01-01,Энергомашбанк
52,2013-02-01,Энергомашбанк
52,2013-03-01,Энергомашбанк
52,2013-04-01,Энергомашбанк
52,2013-05-01,Энергомашбанк
52,2013-06-01,Энергомашбанк
52,2013-07-01,Энергомашбанк
52,2013-08-01,Энергомашбанк
52,2013-09-01,Энергомашбанк
52,2013-10-01,Энергомашбанк
52,2013-11-01,Энергомашбанк
52,2013-12-01,Энергомашбанк
52,2014-01-01,Энергомашбанк
52,2014-02-01,Энергомашбанк
52,2014-03-01,Энергомашбанк
52,2014-04-01,Энергомашбанк
52,2014-05-01,Энергомашбанк
52,2014-06-01,Энергомашбанк
52,2014-07-01,Энергомашбанк
52,2014-08-01,Энергомашбанк
52,2014-09-01,Энергомашбанк
52,2014-10-01,Энергомашбанк
52,2014-11-01,Энергомашбанк
52,2014-12-01,Энергомашбанк
52,2015-01-01,Энергомашбанк
52,2015-01-01,Энергомашбанк
52,2015-02-01,Энергомашбанк
52,2015-03-01,Энергомашбанк
52,2015-04-01,Энергомашбанк
52,2015-05-01,Энергомашбанк
52,2015-06-01,Энергомашбанк
52,2015-08-01,Энергомашбанк
52,2015-09-01,Энергомашбанк
52,2015-10-01,Энергомашбанк
52,2015-11-01,Энергомашбанк
52,2015-12-01,Энергомашбанк
52,2016-01-01,Энергомашбанк
52,2016-02-01,Энергомашбанк
52,2016-03-01,Энергомашбанк
52,2016-04-01,Энергомашбанк
52,2016-05-01,Энергомашбанк
52,2016-06-01,Энергомашбанк
52,2016-07-01,Энергомашбанк
52,2016-08-01,Энергомашбанк
52,2016-09-01,Энергомашбанк
52,2016-10-01,Энергомашбанк
52,2016-11-01,Энергомашбанк
52,2016-12-01,Энергомашбанк
52,2017-01-01,Энергомашбанк
52,2017-02-01,Энергомашбанк
52,2017-03-01,Энергомашбанк
52,2017-04-01,Энергомашбанк
52,2017-05-01,Энергомашбанк
52,2017-06-01,Энергомашбанк
52,2017-07-01,Энергомашбанк
52,2017-08-01,Энергомашбанк
52,2017-09-01,Энергомашбанк
52,2017-10-01,Энергомашбанк
52,2017-11-01,Энергомашбанк
52,2017-12-01,Энергомашбанк
53,2010-02-01,Александровский
53,2010-03-01,Александровский
53,2010-04-01,Александровский
53,2010-05-01,Александровский
53,2010-07-01,Александровский
53,2010-08-01,Александровский
53,2010-09-01,Александровский
53,2010-10-01,Александровский
53,2010-11-01,Александровский
53,2010-12-01,Александровский
53,2011-01-01,Александровский
53,2011-02-01,Александровский
53,2011-03-01,Александровский
53,2011-04-01,Александровский
53,2011-05-01,Александровский
53,2011-06-01,Александровский
53,2011-07-01,Александровский
53,2011-08-01,Александровский
53,2011-09-01,Александровский
53,2011-10-01,Александровский
53,2011-11-01,Александровский
53,2011-12-01,Александровский
53,2012-01-01,Александровский
53,2012-02-01,Александровский
53,2012-03-01,Александровский
53,2012-04-01,Александровский
53,2012-05-01,Александровский
53,2012-06-01,Александровский
53,2012-07-01,Александровский
53,2012-08-01,Александровский
53,2012-09-01,Александровский
53,2012-10-01,Александровский
53,2012-11-01,Александровский
53,2012-12-01,Александровский
53,2013-01-01,Александровский
53,2013-02-01,Александровский
53,2013-03-01,Александровский
53,2013-04-01,Александровский
53,2013-05-01,Александровский
53,2013-06-01,Александровский
53,2013-07-01,Александровский
53,2013-08-01,Александровский
53,2013-09-01,Александровский
53,2013-10-01,Александровский
53,2013-11-01,Александровский
53,2013-12-01,Александровский
53,2014-01-01,Александровский
53,2014-02-01,Александровский
53,2014-03-01,Александровский
53,2014-04-01,Александровский
53,2014-05-01,Александровский
53,2014-06-01,Александровский
53,2014-07-01,Александровский
53,2014-08-01,Александровский
53,2014-09-01,Александровский
53,2014-10-01,Александровский
53,2014-11-01,Александровский
53,2014-12-01,Александровский
53,2015-01-01,Александровский
53,2015-02-01,Александровский
53,2015-03-01,Александровский
53,2015-04-01,Александровский
53,2015-05-01,Александровский
53,2015-06-01,Александровский
53,2015-07-01,Александровский
53,2015-08-01,Александровский
53,2015-09-01,Александровский
53,2015-10-01,Александровский
53,2015-11-01,Александровский
53,2015-12-01,Александровский
53,2016-01-01,Александровский
53,2016-02-01,Александровский
53,2016-03-01,Александровский
53,2016-04-01,Александровский
53,2016-05-01,Александровский
53,2016-06-01,Александровский
53,2016-07-01,Александровский
53,2016-08-01,Александровский
53,2016-09-01,Александровский
53,2016-10-01,Александровский
53,2016-11-01,Александровский
53,2016-12-01,Александровский
53,2017-01-01,Александровский
53,2017-02-01,Александровский
53,2017-03-01,Александровский
53,2017-04-01,Александровский
53,2017-05-01,Александровский
53,2017-06-01,Александровский
53,2017-07-01,Александровский
53,2017-08-01,Александровский
53,2017-09-01,Александровский
53,2017-10-01,Александровский
53,2017-11-01,Александровский
53,2017-12-01,Александровский
55,2010-02-01,Темпбанк
55,2010-03-01,Темпбанк
55,2010-04-01,Темпбанк
55,2010-05-01,Темпбанк
55,2010-06-01,Темпбанк
55,2010-07-01,Темпбанк
55,2010-08-01,Темпбанк
55,2010-09-01,Темпбанк
55,2010-10-01,Темпбанк
55,2010-11-01,Темпбанк
55,2010-12-01,Темпбанк
55,2011-01-01,Темпбанк
55,2011-02-01,Темпбанк
55,2011-03-01,Темпбанк
55,2011-04-01,Темпбанк
55,2011-05-01,Темпбанк
55,2011-06-01,Темпбанк
55,2011-07-01,Темпбанк
55,2011-08-01,Темпбанк
55,2011-09-01,Темпбанк
55,2011-10-01,Темпбанк
55,2011-11-01,Темпбанк
55,2011-12-01,Темпбанк
55,2012-01-01,Темпбанк
55,2012-02-01,Темпбанк
55,2012-03-01,Темпбанк
55,2012-04-01,Темпбанк
55,2012-05-01,Темпбанк
55,2012-06-01,Темпбанк
55,2012-07-01,Темпбанк
55,2012-08-01,Темпбанк
55,2012-09-01,Темпбанк
55,2012-10-01,Темпбанк
55,2012-11-01,Темпбанк
55,2012-12-01,Темпбанк
55,2013-01-01,Темпбанк
55,2013-02-01,Темпбанк
55,2013-03-01,Темпбанк
55,2013-04-01,Темпбанк
55,2013-05-01,Темпбанк
55,2013-06-01,Темпбанк
55,2013-07-01,Темпбанк
55,2013-08-01,Темпбанк
55,2013-09-01,Темпбанк
55,2013-10-01,Темпбанк
55,2013-11-01,Темпбанк
55,2013-12-01,Темпбанк
55,2014-01-01,Темпбанк
55,2014-02-01,Темпбанк
55,2014-03-01,Темпбанк
55,2014-04-01,Темпбанк
55,2014-05-01,Темпбанк
55,2014-06-01,Темпбанк
55,2014-07-01,Темпбанк
55,2014-08-01,Темпбанк
55,2014-09-01,Темпбанк
55,2014-10-01,Темпбанк
55,2014-11-01,Темпбанк
55,2014-12-01,Темпбанк
55,2015-01-01,Темпбанк
55,2015-01-01,Темпбанк
55,2015-02-01,Темпбанк
55,2015-03-01,Темпбанк
55,2015-04-01,Темпбанк
55,2015-05-01,Темпбанк
55,2015-06-01,Темпбанк
55,2015-08-01,Темпбанк
55,2015-09-01,Темпбанк
55,2015-10-01,Темпбанк
55,2015-11-01,Темпбанк
55,2015-12-01,Темпбанк
55,2016-01-01,Темпбанк
55,2016-02-01,Темпбанк
55,2016-03-01,Темпбанк
55,2016-04-01,Темпбанк
55,2016-05-01,Темпбанк
55,2016-06-01,Темпбанк
55,2016-07-01,Темпбанк
55,2016-08-01,Темпбанк
55,2016-09-01,Темпбанк
55,2016-10-01,Темпбанк
55,2016-11-01,Темпбанк
55,2016-12-01,Темпбанк
55,2017-01-01,Темпбанк
55,2017-02-01,Темпбанк
55,2017-03-01,Темпбанк
55,2017-04-01,Темпбанк
55,2017-05-01,Темпбанк
55,2017-06-01,Темпбанк
55,2017-07-01,Темпбанк
55,2017-08-01,Темпбанк
55,2017-09-01,Темпбанк
65,2010-02-01,Кольцо Урала
65,2010-03-01,Кольцо Урала
65,2010-04-01,Кольцо Урала
65,2010-05-01,Кольцо Урала
65,2010-06-01,Кольцо Урала
65,2010-07-01,Кольцо Урала
65,2010-08-01,Кольцо Урала
65,2010-09-01,Кольцо Урала
65,2010-10-01,Кольцо Урала
65,2010-11-01,Кольцо Урала
65,2010-12-01,Кольцо Урала
65,2011-01-01,Кольцо Урала
65,2011-02-01,Кольцо Урала
65,2011-03-01,Кольцо Урала
65,2011-04-01,Кольцо Урала
65,2011-05-01,Кольцо Урала
65,2011-06-01,Кольцо Урала
65,2011-07-01,Кольцо Урала
65,2011-08-01,Кольцо Урала
65,2011-09-01,Кольцо Урала
65,2011-10-01,Кольцо Урала
65,2011-11-01,Кольцо Урала
65,2011-12-01,Кольцо Урала
65,2012-01-01,Кольцо Урала
65,2012-02-01,Кольцо Урала
65,2012-03-01,Кольцо Урала
65,2012-04-01,Кольцо Урала
65,2012-05-01,Кольцо Урала
65,2012-06-01,Кольцо Урала
65,2012-07-01,Кольцо Урала
65,2012-08-01,Кольцо Урала
65,2012-09-01,Кольцо Урала
65,2012-10-01,Кольцо Урала
65,2012-11-01,Кольцо Урала
65,2012-12-01,Кольцо Урала
65,2013-01-01,Кольцо Урала
65,2013-02-01,Кольцо Урала
65,2013-03-01,Кольцо Урала
65,2013-04-01,Кольцо Урала
65,2013-05-01,Кольцо Урала
65,2013-06-01,Кольцо Урала
