Лицензия_банк,ИД_1800,дата
"Констанс-Банк лицензия № 2228, Санкт-Петербург и обл.",21702,2015-02-01
"Алмазэргиэнбанк лицензия № 2602, Саха (Якутия)",21578,2015-02-01
"Азия Банк лицензия № 3183, Москва и обл.",21403,2015-02-01
"Агросоюз лицензия № 1459, Москва и обл.",21393,2015-02-01
"Континенталь лицензия № 3184, Ставропольский край",21347,2015-02-01
"Финпромбанк (ФПБ Банк) лицензия № 2157, Москва и обл.",21305,2015-02-01
"Енисейский Объединенный Банк лицензия № 2645, Красноярский край",21066,2015-02-01
"Далта-Банк лицензия № 142, Приморский край",21017,2015-02-01
"Михайловский ПЖСБ лицензия № 2961, Волгоградская обл.",20919,2015-02-01
"Центрально-Европейский Банк лицензия № 2670, Москва и обл.",20816,2015-02-01
"Центр-инвест лицензия № 2225, Ростовская обл.",20809,2015-02-01
"Веста лицензия № 2368, Москва и обл.",20734,2015-02-01
"Мосводоканалбанк лицензия № 2863, Москва и обл.",20570,2015-02-01
"Прохладный лицензия № 874, Кабардино-Балкария",20385,2015-02-01
"Нижневолжский Коммерческий Банк лицензия № 931, Саратовская обл.",20354,2015-02-01
"Банкирский Дом лицензия № 2928, Санкт-Петербург и обл.",20269,2015-02-01
"Транспортный лицензия № 3174, Москва и обл.",20252,2015-02-01
"Муниципальный Камчатпрофитбанк лицензия № 2103, Камчатская обл.",20161,2015-02-01
"Жилкредит лицензия № 1736, Москва и обл.",20035,2015-02-01
"Липецккомбанк лицензия № 1242, Липецкая обл.",19998,2015-02-01
"Торжокуниверсалбанк лицензия № 933, Тверская обл.",19863,2015-02-01
"Уралфинанс лицензия № 1370, Свердловская обл.",19599,2015-02-01
"Банк РМП лицензия № 2574, Москва и обл.",19586,2015-02-01
"Росавтобанк лицензия № 2767, Москва и обл.",19564,2015-02-01
"Русский Банк Сбережений лицензия № 779, Ставропольский край",19437,2015-02-01
"Северо-Западный 1 Альянс Банк лицензия № 766, Санкт-Петербург и обл.",19432,2015-02-01
"Тихоокеанский Внешторгбанк лицензия № 1378, Сахалинская обл.",19365,2015-02-01
"Межтопэнергобанк лицензия № 2956, Москва и обл.",19313,2015-02-01
"Содружество лицензия № 2923, Москва и обл.",19154,2015-02-01
"Инбанк лицензия № 1829, Москва и обл.",19083,2015-02-01
"Народный Инвестиционный Банк лицензия № 2876, Самарская обл.",18907,2015-02-01
"Новокиб лицензия № 1747, Кемеровская обл.",18621,2015-02-01
"Межтрастбанк лицензия № 2493, Москва и обл.",18619,2015-02-01
"Уралпромбанк лицензия № 2964, Челябинская обл.",18494,2015-02-01
"АлтайБизнес-Банк лицензия № 2388, Алтайский край",18453,2015-02-01
"Банк БЦК-Москва лицензия № 3480, Москва и обл.",18443,2015-02-01
"Воронеж лицензия № 654, Воронежская обл.",18350,2015-02-01
"Лэнд-Банк лицензия № 1478, Москва и обл.",18313,2015-02-01
"ПИР Банк лицензия № 2655, Москва и обл.",18184,2015-02-01
"Русский Национальный Банк лицензия № 469, Ростовская обл.",18174,2015-02-01
"Спутник лицензия № 1071, Оренбургская обл.",18025,2015-02-01
"Аспект лицензия № 608, Москва и обл.",17995,2015-02-01
"Торговый Городской Банк лицензия № 3180, Тверская обл.",17916,2015-02-01
"Интерпрогрессбанк лицензия № 600, Москва и обл.",17798,2015-02-01
"Промсельхозбанк лицензия № 538, Москва и обл.",17794,2015-02-01
"Современный Коммерческий Инновационный Банк лицензия № 3329, Костромская обл.",17725,2015-02-01
"Выборг-Банк лицензия № 720, Санкт-Петербург и обл.",17679,2015-02-01
"Русфинанс Банк лицензия № 1792, Самарская обл.",17675,2015-02-01
"Балтинвестбанк лицензия № 3176, Санкт-Петербург и обл.",17672,2015-02-01
"Расчетно-Кредитный Банк лицензия № 103, Москва и обл.",17594,2015-02-01
"Геобанк лицензия № 2027, Москва и обл.",17584,2015-02-01
"Эксперт Банк лицензия № 2949, Омская обл.",17556,2015-02-01
"Алеф-Банк лицензия № 2119, Москва и обл.",17501,2015-02-01
"Кредит Урал Банк лицензия № 2584, Челябинская обл.",17448,2015-02-01
"Кубаньторгбанк лицензия № 478, Краснодарский край",17350,2015-02-01
"Спиритбанк лицензия № 2053, Тульская обл.",17320,2015-02-01
"Нико-Банк лицензия № 702, Оренбургская обл.",17281,2015-02-01
